GAME_DATE,MATCHUP,WL,PTS,PTS_OPP,PLUS_MINUS,HAS_CENTER
2024-10-23,GSW @ POR,W,140,104.0,36.0,True
2024-10-25,GSW @ UTA,W,127,86.0,41.0,True
2024-10-27,GSW vs. LAC,L,104,112.0,-8.0,True
2024-10-29,GSW vs. NOP,W,124,106.0,18.0,True
2024-10-30,GSW vs. NOP,W,104,89.0,15.0,True
2024-11-02,GSW @ HOU,W,127,121.0,6.0,True
2024-11-04,GSW @ WAS,W,125,112.0,13.0,True
2024-11-06,GSW @ BOS,W,118,112.0,6.0,True
2024-11-08,GSW @ CLE,L,117,136.0,-19.0,True
2024-11-10,GSW @ OKC,W,127,116.0,11.0,True
2024-11-12,GSW vs. DAL,W,120,117.0,3.0,True
2024-11-15,GSW vs. MEM,W,123,118.0,5.0,True
2024-11-18,GSW @ LAC,L,99,102.0,-3.0,True
2024-11-20,GSW vs. ATL,W,120,97.0,23.0,True
2024-11-22,GSW @ NOP,W,112,108.0,4.0,True
2024-11-23,GSW @ SAS,L,94,104.0,-10.0,True
2024-11-25,GSW vs. BKN,L,120,128.0,-8.0,True
2024-11-27,GSW vs. OKC,L,101,105.0,-4.0,False
2024-11-30,GSW @ PHX,L,105,113.0,-8.0,True
2024-12-03,GSW @ DEN,L,115,119.0,-4.0,True
2024-12-05,GSW vs. HOU,W,99,93.0,6.0,True
2024-12-06,GSW vs. MIN,L,90,107.0,-17.0,True
2024-12-08,GSW vs. MIN,W,114,106.0,8.0,False
2024-12-11,GSW @ HOU,L,90,91.0,-1.0,False
2024-12-15,GSW vs. DAL,L,133,143.0,-10.0,True
2024-12-19,GSW @ MEM,L,93,144.0,-51.0,True
2024-12-21,GSW @ MIN,W,113,103.0,10.0,True
2024-12-23,GSW vs. IND,L,105,111.0,-6.0,True
2024-12-25,GSW vs. LAL,L,113,115.0,-2.0,True
2024-12-27,GSW @ LAC,L,92,102.0,-10.0,True
2024-12-28,GSW vs. PHX,W,109,105.0,4.0,True
2024-12-30,GSW vs. CLE,L,95,113.0,-18.0,True
2025-01-02,GSW vs. PHI,W,139,105.0,34.0,True
2025-01-04,GSW vs. MEM,W,121,113.0,8.0,True
2025-01-05,GSW vs. SAC,L,99,129.0,-30.0,True
2025-01-07,GSW vs. MIA,L,98,114.0,-16.0,True
2025-01-09,GSW @ DET,W,107,104.0,3.0,True
2025-01-10,GSW @ IND,L,96,108.0,-12.0,True
2025-01-13,GSW @ TOR,L,101,104.0,-3.0,True
2025-01-15,GSW @ MIN,W,116,115.0,1.0,True
2025-01-18,GSW vs. WAS,W,122,114.0,8.0,True
2025-01-20,GSW vs. BOS,L,85,125.0,-40.0,True
2025-01-22,GSW @ SAC,L,117,123.0,-6.0,True
2025-01-23,GSW vs. CHI,W,131,106.0,25.0,True
2025-01-25,GSW vs. LAL,L,108,118.0,-10.0,True
2025-01-28,GSW vs. UTA,W,114,103.0,11.0,True
2025-01-29,GSW vs. OKC,W,116,109.0,7.0,True
2025-01-31,GSW vs. PHX,L,105,130.0,-25.0,True
2025-02-03,GSW vs. ORL,W,104,99.0,5.0,True
2025-02-05,GSW @ UTA,L,128,131.0,-3.0,True
2025-02-06,GSW @ LAL,L,112,120.0,-8.0,True
2025-02-08,GSW @ CHI,W,132,111.0,21.0,True
2025-02-10,GSW @ MIL,W,125,111.0,14.0,False
2025-02-12,GSW @ DAL,L,107,111.0,-4.0,True
2025-02-13,GSW @ HOU,W,105,98.0,7.0,False
2025-02-21,GSW @ SAC,W,132,108.0,24.0,False
2025-02-23,GSW vs. DAL,W,126,102.0,24.0,False
2025-02-25,GSW vs. CHA,W,128,92.0,36.0,False
2025-02-27,GSW @ ORL,W,121,115.0,6.0,False
2025-03-01,GSW @ PHI,L,119,126.0,-7.0,True
2025-03-03,GSW @ CHA,W,119,101.0,18.0,False
2025-03-04,GSW @ NYK,W,114,102.0,12.0,False
2025-03-06,GSW @ BKN,W,121,119.0,2.0,False
2025-03-08,GSW vs. DET,W,115,110.0,5.0,True
2025-03-10,GSW vs. POR,W,130,120.0,10.0,True
2025-03-13,GSW vs. SAC,W,130,104.0,26.0,True
2025-03-15,GSW vs. NYK,W,97,94.0,3.0,False
2025-03-17,GSW vs. DEN,L,105,114.0,-9.0,True
2025-03-18,GSW vs. MIL,W,104,93.0,11.0,True
2025-03-20,GSW vs. TOR,W,117,114.0,3.0,False
2025-03-22,GSW @ ATL,L,115,124.0,-9.0,True
2025-03-25,GSW @ MIA,L,86,112.0,-26.0,False
2025-03-28,GSW @ NOP,W,111,95.0,16.0,False
2025-03-30,GSW @ SAS,W,148,106.0,42.0,False
2025-04-01,GSW @ MEM,W,134,125.0,9.0,False
2025-04-03,GSW @ LAL,W,123,116.0,7.0,False
2025-04-04,GSW vs. DEN,W,118,104.0,14.0,False
2025-04-06,GSW vs. HOU,L,96,106.0,-10.0,False
2025-04-08,GSW @ PHX,W,133,95.0,38.0,False
2025-04-09,GSW vs. SAS,L,111,114.0,-3.0,False
2025-04-11,GSW @ POR,W,103,86.0,17.0,False
2025-04-13,GSW vs. LAC,L,119,124.0,-5.0,False
2025-04-20,GSW @ HOU,W,95,85.0,10.0,False
2025-04-23,GSW @ HOU,L,94,109.0,-15.0,False
2025-04-26,GSW vs. HOU,W,104,93.0,11.0,True
2025-04-28,GSW vs. HOU,W,109,106.0,3.0,False
2025-04-30,GSW @ HOU,L,116,131.0,-15.0,False
2025-05-02,GSW vs. HOU,L,107,115.0,-8.0,False
2025-05-04,GSW @ HOU,W,103,89.0,14.0,False
2025-05-06,GSW @ MIN,W,99,88.0,11.0,False
2025-05-08,GSW @ MIN,L,93,117.0,-24.0,True
2025-05-10,GSW vs. MIN,L,97,102.0,-5.0,True
2025-05-12,GSW vs. MIN,L,110,117.0,-7.0,True
2025-05-14,GSW @ MIN,L,110,121.0,-11.0,True
